Int32;Int32;;
-486693226;-486693226;Да;ИСТИНА
-486681413;-486681413;Да;ИСТИНА
-486293981;-486293981;Да;ИСТИНА
-484680082;-484680082;Да;ИСТИНА
-484452336;-484452336;Да;ИСТИНА
-483777463;-483777463;Да;ИСТИНА
-483268773;-483268773;Да;ИСТИНА
-483017583;-483017583;Да;ИСТИНА
-482723065;-482723065;Да;ИСТИНА
-482246602;-482246602;Да;ИСТИНА
-481803419;-481803419;Да;ИСТИНА
-481604571;-481604571;Да;ИСТИНА
-480387283;-480387283;Да;ИСТИНА
-479950107;-479950107;Да;ИСТИНА
-476544782;-476544782;Да;ИСТИНА
-475692896;-475692896;Да;ИСТИНА
-474569349;-474569349;Да;ИСТИНА
-474551238;-474551238;Да;ИСТИНА
-474331224;-474331224;Да;ИСТИНА
-473698311;-473698311;Да;ИСТИНА
-473648987;-473648987;Да;ИСТИНА
-473404219;-473404219;Да;ИСТИНА
-473353667;-473353667;Да;ИСТИНА
-472793729;-472793729;Да;ИСТИНА
-472358110;-472358110;Да;ИСТИНА
-471980411;-471980411;Да;ИСТИНА
-471720395;-471720395;Да;ИСТИНА
-471058940;-471058940;Да;ИСТИНА
-469236032;-469236032;Да;ИСТИНА
-468863463;-468863463;Да;ИСТИНА
-468049599;-468049599;Да;ИСТИНА
-467048329;-467048329;Да;ИСТИНА
-466932972;-466932972;Да;ИСТИНА
-466356065;-466356065;Да;ИСТИНА
-466315578;-466315578;Да;ИСТИНА
-466226563;-466226563;Да;ИСТИНА
-465927051;-465927051;Да;ИСТИНА
-464672168;-464672168;Да;ИСТИНА
-463779692;-463779692;Да;ИСТИНА
-461029660;-461029660;Да;ИСТИНА
-460420463;-460420463;Да;ИСТИНА
-459533422;-459533422;Да;ИСТИНА
-457903867;-457903867;Да;ИСТИНА
-457492337;-457492337;Да;ИСТИНА
-457161639;-457161639;Да;ИСТИНА
-456623987;-456623987;Да;ИСТИНА
-455107157;-455107157;Да;ИСТИНА
-454860961;-454860961;Да;ИСТИНА
-454450300;-454450300;Да;ИСТИНА
-452940374;-452940374;Да;ИСТИНА
-452126869;-452126869;Да;ИСТИНА
-451336800;-451336800;Да;ИСТИНА
-450248978;-450248978;Да;ИСТИНА
-446547024;-446547024;Да;ИСТИНА
-446526416;-446526416;Да;ИСТИНА
-446126249;-446126249;Да;ИСТИНА
-445697943;-445697943;Да;ИСТИНА
-445351620;-445351620;Да;ИСТИНА
-444605132;-444605132;Да;ИСТИНА
-444561009;-444561009;Да;ИСТИНА
-443808518;-443808518;Да;ИСТИНА
-443495741;-443495741;Да;ИСТИНА
-442929965;-442929965;Да;ИСТИНА
-442497179;-442497179;Да;ИСТИНА
-439395463;-439395463;Да;ИСТИНА
-438885172;-438885172;Да;ИСТИНА
-438875143;-438875143;Да;ИСТИНА
-438416354;-438416354;Да;ИСТИНА
-438042579;-438042579;Да;ИСТИНА
-437854971;-437854971;Да;ИСТИНА
-437123401;-437123401;Да;ИСТИНА
-437113890;-437113890;Да;ИСТИНА
-435908027;-435908027;Да;ИСТИНА
-434981895;-434981895;Да;ИСТИНА
-434926978;-434926978;Да;ИСТИНА
-434124922;-434124922;Да;ИСТИНА
-433919994;-433919994;Да;ИСТИНА
-431942166;-431942166;Да;ИСТИНА
-430664876;-430664876;Да;ИСТИНА
-429996693;-429996693;Да;ИСТИНА
-428853250;-428853250;Да;ИСТИНА
-428677383;-428677383;Да;ИСТИНА
-428422091;-428422091;Да;ИСТИНА
-427541501;-427541501;Да;ИСТИНА
-426391261;-426391261;Да;ИСТИНА
-423431709;-423431709;Да;ИСТИНА
-422658436;-422658436;Да;ИСТИНА
-422241537;-422241537;Да;ИСТИНА
-421793616;-421793616;Да;ИСТИНА
-420160666;-420160666;Да;ИСТИНА
-419610631;-419610631;Да;ИСТИНА
-419042042;-419042042;Да;ИСТИНА
-418580457;-418580457;Да;ИСТИНА
-418485261;-418485261;Да;ИСТИНА
-417472314;-417472314;Да;ИСТИНА
-417125163;-417125163;Да;ИСТИНА
-416801996;-416801996;Да;ИСТИНА
-415075570;-415075570;Да;ИСТИНА
-414461795;-414461795;Да;ИСТИНА
-414368315;-414368315;Да;ИСТИНА
-413645042;-413645042;Да;ИСТИНА
-412371052;-412371052;Да;ИСТИНА
-409716993;-409716993;Да;ИСТИНА
-408876634;-408876634;Да;ИСТИНА
-407695667;-407695667;Да;ИСТИНА
-406783101;-406783101;Да;ИСТИНА
-406727857;-406727857;Да;ИСТИНА
-405650029;-405650029;Да;ИСТИНА
-404306706;-404306706;Да;ИСТИНА
-403878461;-403878461;Да;ИСТИНА
-403786098;-403786098;Да;ИСТИНА
-403641164;-403641164;Да;ИСТИНА
-403385895;-403385895;Да;ИСТИНА
-401019061;-401019061;Да;ИСТИНА
-400334108;-400334108;Да;ИСТИНА
-400214376;-400214376;Да;ИСТИНА
-400198670;-400198670;Да;ИСТИНА
-399372345;-399372345;Да;ИСТИНА
-395463186;-395463186;Да;ИСТИНА
-394994586;-394994586;Да;ИСТИНА
-394850092;-394850092;Да;ИСТИНА
-394205930;-394205930;Да;ИСТИНА
-394130534;-394130534;Да;ИСТИНА
-393225998;-393225998;Да;ИСТИНА
-392756459;-392756459;Да;ИСТИНА
-392231753;-392231753;Да;ИСТИНА
-391950517;-391950517;Да;ИСТИНА
-391847575;-391847575;Да;ИСТИНА
-391449198;-391449198;Да;ИСТИНА
-391033687;-391033687;Да;ИСТИНА
-390380476;-390380476;Да;ИСТИНА
-387596454;-387596454;Да;ИСТИНА
-387368538;-387368538;Да;ИСТИНА
-386768583;-386768583;Да;ИСТИНА
-385745958;-385745958;Да;ИСТИНА
-384257635;-384257635;Да;ИСТИНА
-382692011;-382692011;Да;ИСТИНА
-382292264;-382292264;Да;ИСТИНА
-382126566;-382126566;Да;ИСТИНА
-381547814;-381547814;Да;ИСТИНА
-381480144;-381480144;Да;ИСТИНА
-380392474;-380392474;Да;ИСТИНА
-378989870;-378989870;Да;ИСТИНА
-378652477;-378652477;Да;ИСТИНА
-378596053;-378596053;Да;ИСТИНА
-377530171;-377530171;Да;ИСТИНА
-376285668;-376285668;Да;ИСТИНА
-376211803;-376211803;Да;ИСТИНА
-376027369;-376027369;Да;ИСТИНА
-374528840;-374528840;Да;ИСТИНА
-373813036;-373813036;Да;ИСТИНА
-373320105;-373320105;Да;ИСТИНА
-373029638;-373029638;Да;ИСТИНА
-372374832;-372374832;Да;ИСТИНА
-372047532;-372047532;Да;ИСТИНА
-371570357;-371570357;Да;ИСТИНА
-371468085;-371468085;Да;ИСТИНА
-370636295;-370636295;Да;ИСТИНА
-370507011;-370507011;Да;ИСТИНА
-369536047;-369536047;Да;ИСТИНА
-369484720;-369484720;Да;ИСТИНА
-367816858;-367816858;Да;ИСТИНА
-367395179;-367395179;Да;ИСТИНА
-364852807;-364852807;Да;ИСТИНА
-364259506;-364259506;Да;ИСТИНА
-361390224;-361390224;Да;ИСТИНА
-360696166;-360696166;Да;ИСТИНА
-360052734;-360052734;Да;ИСТИНА
-359500006;-359500006;Да;ИСТИНА
-357674181;-357674181;Да;ИСТИНА
-357491964;-357491964;Да;ИСТИНА
-357483948;-357483948;Да;ИСТИНА
-357135222;-357135222;Да;ИСТИНА
-356988803;-356988803;Да;ИСТИНА
-356980516;-356980516;Да;ИСТИНА
-356741235;-356741235;Да;ИСТИНА
-355976680;-355976680;Да;ИСТИНА
-355851814;-355851814;Да;ИСТИНА
-355235522;-355235522;Да;ИСТИНА
-353472881;-353472881;Да;ИСТИНА
-353415031;-353415031;Да;ИСТИНА
-352993845;-352993845;Да;ИСТИНА
-351411778;-351411778;Да;ИСТИНА
-349991423;-349991423;Да;ИСТИНА
-348041726;-348041726;Да;ИСТИНА
-347566197;-347566197;Да;ИСТИНА
-346447572;-346447572;Да;ИСТИНА
-346027649;-346027649;Да;ИСТИНА
-342959343;-342959343;Да;ИСТИНА
-341584097;-341584097;Да;ИСТИНА
-341331644;-341331644;Да;ИСТИНА
-340897979;-340897979;Да;ИСТИНА
-340767556;-340767556;Да;ИСТИНА
-340211212;-340211212;Да;ИСТИНА
-340179519;-340179519;Да;ИСТИНА
-339946983;-339946983;Да;ИСТИНА
-338939731;-338939731;Да;ИСТИНА
-338646083;-338646083;Да;ИСТИНА
-338645531;-338645531;Да;ИСТИНА
-337754988;-337754988;Да;ИСТИНА
-337065449;-337065449;Да;ИСТИНА
-336767104;-336767104;Да;ИСТИНА
-334033240;-334033240;Да;ИСТИНА
-333512842;-333512842;Да;ИСТИНА
-333339114;-333339114;Да;ИСТИНА
-333152773;-333152773;Да;ИСТИНА
-333066344;-333066344;Да;ИСТИНА
-331541870;-331541870;Да;ИСТИНА
-331192685;-331192685;Да;ИСТИНА
-331051310;-331051310;Да;ИСТИНА
-330758485;-330758485;Да;ИСТИНА
-328015513;-328015513;Да;ИСТИНА
-326757429;-326757429;Да;ИСТИНА
-326344816;-326344816;Да;ИСТИНА
-326208722;-326208722;Да;ИСТИНА
-326010761;-326010761;Да;ИСТИНА
-325831915;-325831915;Да;ИСТИНА
-324853164;-324853164;Да;ИСТИНА
-324197871;-324197871;Да;ИСТИНА
-323727775;-323727775;Да;ИСТИНА
-323019093;-323019093;Да;ИСТИНА
-322216579;-322216579;Да;ИСТИНА
-322067529;-322067529;Да;ИСТИНА
-321651855;-321651855;Да;ИСТИНА
-321223961;-321223961;Да;ИСТИНА
-320307768;-320307768;Да;ИСТИНА
-318558327;-318558327;Да;ИСТИНА
-318399019;-318399019;Да;ИСТИНА
-317460295;-317460295;Да;ИСТИНА
-316836104;-316836104;Да;ИСТИНА
-316767639;-316767639;Да;ИСТИНА
-315976204;-315976204;Да;ИСТИНА
-314945162;-314945162;Да;ИСТИНА
-313607694;-313607694;Да;ИСТИНА
-313058821;-313058821;Да;ИСТИНА
-312748161;-312748161;Да;ИСТИНА
-312520583;-312520583;Да;ИСТИНА
-310663147;-310663147;Да;ИСТИНА
-310517334;-310517334;Да;ИСТИНА
-310419313;-310419313;Да;ИСТИНА
-310001763;-310001763;Да;ИСТИНА
-308682591;-308682591;Да;ИСТИНА
-308320948;-308320948;Да;ИСТИНА
-307060050;-307060050;Да;ИСТИНА
-306936501;-306936501;Да;ИСТИНА
-305404872;-305404872;Да;ИСТИНА
-304776741;-304776741;Да;ИСТИНА
-304291035;-304291035;Да;ИСТИНА
-303235309;-303235309;Да;ИСТИНА
-302884601;-302884601;Да;ИСТИНА
-302335965;-302335965;Да;ИСТИНА
-302329831;-302329831;Да;ИСТИНА
-301867245;-301867245;Да;ИСТИНА
-299742321;-299742321;Да;ИСТИНА
-298539301;-298539301;Да;ИСТИНА
-297859015;-297859015;Да;ИСТИНА
-293159342;-293159342;Да;ИСТИНА
-291310644;-291310644;Да;ИСТИНА
-291018159;-291018159;Да;ИСТИНА
-290248716;-290248716;Да;ИСТИНА
-289503614;-289503614;Да;ИСТИНА
-288476156;-288476156;Да;ИСТИНА
-288290163;-288290163;Да;ИСТИНА
-288152911;-288152911;Да;ИСТИНА
-288011680;-288011680;Да;ИСТИНА
-285690012;-285690012;Да;ИСТИНА
-285210214;-285210214;Да;ИСТИНА
-285201692;-285201692;Да;ИСТИНА
-284102808;-284102808;Да;ИСТИНА
-283929480;-283929480;Да;ИСТИНА
-283595063;-283595063;Да;ИСТИНА
-282347045;-282347045;Да;ИСТИНА
-281329044;-281329044;Да;ИСТИНА
-281235742;-281235742;Да;ИСТИНА
-279035620;-279035620;Да;ИСТИНА
-278400994;-278400994;Да;ИСТИНА
-277951302;-277951302;Да;ИСТИНА
-276452663;-276452663;Да;ИСТИНА
-276269511;-276269511;Да;ИСТИНА
-273280239;-273280239;Да;ИСТИНА
-273218488;-273218488;Да;ИСТИНА
-273099838;-273099838;Да;ИСТИНА
-272414056;-272414056;Да;ИСТИНА
-271475421;-271475421;Да;ИСТИНА
-270693906;-270693906;Да;ИСТИНА
-269612339;-269612339;Да;ИСТИНА
-268333267;-268333267;Да;ИСТИНА
-267975368;-267975368;Да;ИСТИНА
-265726434;-265726434;Да;ИСТИНА
-265458013;-265458013;Да;ИСТИНА
-265291704;-265291704;Да;ИСТИНА
-265289520;-265289520;Да;ИСТИНА
-264671613;-264671613;Да;ИСТИНА
-264455718;-264455718;Да;ИСТИНА
-262818691;-262818691;Да;ИСТИНА
-262196072;-262196072;Да;ИСТИНА
-261022990;-261022990;Да;ИСТИНА
-260577996;-260577996;Да;ИСТИНА
-260365236;-260365236;Да;ИСТИНА
-260290059;-260290059;Да;ИСТИНА
-259935768;-259935768;Да;ИСТИНА
-258587154;-258587154;Да;ИСТИНА
-256184042;-256184042;Да;ИСТИНА
-255003946;-255003946;Да;ИСТИНА
-250121989;-250121989;Да;ИСТИНА
-247284351;-247284351;Да;ИСТИНА
-247231265;-247231265;Да;ИСТИНА
-246392068;-246392068;Да;ИСТИНА
-246227188;-246227188;Да;ИСТИНА
-246081010;-246081010;Да;ИСТИНА
-244988119;-244988119;Да;ИСТИНА
-244348715;-244348715;Да;ИСТИНА
-242905523;-242905523;Да;ИСТИНА
-242573563;-242573563;Да;ИСТИНА
-242290134;-242290134;Да;ИСТИНА
-241188532;-241188532;Да;ИСТИНА
-240554645;-240554645;Да;ИСТИНА
-238953735;-238953735;Да;ИСТИНА
-238576300;-238576300;Да;ИСТИНА
-238409334;-238409334;Да;ИСТИНА
-237582726;-237582726;Да;ИСТИНА
-237195672;-237195672;Да;ИСТИНА
-236602666;-236602666;Да;ИСТИНА
-236034181;-236034181;Да;ИСТИНА
-233762126;-233762126;Да;ИСТИНА
-233324624;-233324624;Да;ИСТИНА
-232061267;-232061267;Да;ИСТИНА
-232039106;-232039106;Да;ИСТИНА
-229766263;-229766263;Да;ИСТИНА
-229046331;-229046331;Да;ИСТИНА
-228771462;-228771462;Да;ИСТИНА
-227081352;-227081352;Да;ИСТИНА
-225098583;-225098583;Да;ИСТИНА
-224909127;-224909127;Да;ИСТИНА
-224553136;-224553136;Да;ИСТИНА
-222850124;-222850124;Да;ИСТИНА
-221983155;-221983155;Да;ИСТИНА
-220328878;-220328878;Да;ИСТИНА
-220315889;-220315889;Да;ИСТИНА
-218026758;-218026758;Да;ИСТИНА
-217708850;-217708850;Да;ИСТИНА
-216039556;-216039556;Да;ИСТИНА
-214796617;-214796617;Да;ИСТИНА
-214695612;-214695612;Да;ИСТИНА
-214163993;-214163993;Да;ИСТИНА
-213428272;-213428272;Да;ИСТИНА
-213068963;-213068963;Да;ИСТИНА
-212982038;-212982038;Да;ИСТИНА
-212109856;-212109856;Да;ИСТИНА
-211751470;-211751470;Да;ИСТИНА
-208172887;-208172887;Да;ИСТИНА
-207537613;-207537613;Да;ИСТИНА
-206295236;-206295236;Да;ИСТИНА
-205324702;-205324702;Да;ИСТИНА
-204789959;-204789959;Да;ИСТИНА
-203691336;-203691336;Да;ИСТИНА
-202331538;-202331538;Да;ИСТИНА
-195307309;-195307309;Да;ИСТИНА
-194809695;-194809695;Да;ИСТИНА
-194271203;-194271203;Да;ИСТИНА
-193669839;-193669839;Да;ИСТИНА
-190079500;-190079500;Да;ИСТИНА
-188579240;-188579240;Да;ИСТИНА
-188574183;-188574183;Да;ИСТИНА
-187438200;-187438200;Да;ИСТИНА
-185851335;-185851335;Да;ИСТИНА
-184499493;-184499493;Да;ИСТИНА
-183483881;-183483881;Да;ИСТИНА
-180096528;-180096528;Да;ИСТИНА
-179613060;-179613060;Да;ИСТИНА
-179318768;-179318768;Да;ИСТИНА
-176578275;-176578275;Да;ИСТИНА
-176512894;-176512894;Да;ИСТИНА
-175236222;-175236222;Да;ИСТИНА
-175185755;-175185755;Да;ИСТИНА
-174714698;-174714698;Да;ИСТИНА
-173907453;-173907453;Да;ИСТИНА
-172998213;-172998213;Да;ИСТИНА
-172072880;-172072880;Да;ИСТИНА
-170889738;-170889738;Да;ИСТИНА
-169819092;-169819092;Да;ИСТИНА
-169493053;-169493053;Да;ИСТИНА
-169059976;-169059976;Да;ИСТИНА
-167319640;-167319640;Да;ИСТИНА
-166813574;-166813574;Да;ИСТИНА
-166737268;-166737268;Да;ИСТИНА
-163415568;-163415568;Да;ИСТИНА
-163149894;-163149894;Да;ИСТИНА
-162015551;-162015551;Да;ИСТИНА
-161248869;-161248869;Да;ИСТИНА
-160491205;-160491205;Да;ИСТИНА
-159396687;-159396687;Да;ИСТИНА
-158730141;-158730141;Да;ИСТИНА
-157923622;-157923622;Да;ИСТИНА
-157046963;-157046963;Да;ИСТИНА
-156296693;-156296693;Да;ИСТИНА
-155782446;-155782446;Да;ИСТИНА
-155603306;-155603306;Да;ИСТИНА
-153640876;-153640876;Да;ИСТИНА
-153098558;-153098558;Да;ИСТИНА
-152119873;-152119873;Да;ИСТИНА
-151895468;-151895468;Да;ИСТИНА
-151827718;-151827718;Да;ИСТИНА
-151418671;-151418671;Да;ИСТИНА
-150754183;-150754183;Да;ИСТИНА
-150559033;-150559033;Да;ИСТИНА
-148835355;-148835355;Да;ИСТИНА
-147745192;-147745192;Да;ИСТИНА
-147683241;-147683241;Да;ИСТИНА
-147479079;-147479079;Да;ИСТИНА
-145451402;-145451402;Да;ИСТИНА
-145326930;-145326930;Да;ИСТИНА
-144484930;-144484930;Да;ИСТИНА
-141024309;-141024309;Да;ИСТИНА
-140606650;-140606650;Да;ИСТИНА
-140089434;-140089434;Да;ИСТИНА
-139688839;-139688839;Да;ИСТИНА
-139607639;-139607639;Да;ИСТИНА
-139429472;-139429472;Да;ИСТИНА
-138371614;-138371614;Да;ИСТИНА
-136122274;-136122274;Да;ИСТИНА
-134656135;-134656135;Да;ИСТИНА
-134297926;-134297926;Да;ИСТИНА
-134038124;-134038124;Да;ИСТИНА
-133433780;-133433780;Да;ИСТИНА
-132571433;-132571433;Да;ИСТИНА
-132290184;-132290184;Да;ИСТИНА
-132244368;-132244368;Да;ИСТИНА
-131717343;-131717343;Да;ИСТИНА
-130846712;-130846712;Да;ИСТИНА
-130596506;-130596506;Да;ИСТИНА
-130031794;-130031794;Да;ИСТИНА
-129624554;-129624554;Да;ИСТИНА
-129275577;-129275577;Да;ИСТИНА
-128504688;-128504688;Да;ИСТИНА
-128364317;-128364317;Да;ИСТИНА
-126807497;-126807497;Да;ИСТИНА
-124592651;-124592651;Да;ИСТИНА
-123528916;-123528916;Да;ИСТИНА
-123197878;-123197878;Да;ИСТИНА
-122016969;-122016969;Да;ИСТИНА
-121750375;-121750375;Да;ИСТИНА
-121585755;-121585755;Да;ИСТИНА
-120739608;-120739608;Да;ИСТИНА
-119914155;-119914155;Да;ИСТИНА
-119097385;-119097385;Да;ИСТИНА
-118471606;-118471606;Да;ИСТИНА
-117588272;-117588272;Да;ИСТИНА
-116771765;-116771765;Да;ИСТИНА
-116488587;-116488587;Да;ИСТИНА
-115316597;-115316597;Да;ИСТИНА
-114489362;-114489362;Да;ИСТИНА
-114097688;-114097688;Да;ИСТИНА
-113730345;-113730345;Да;ИСТИНА
-113300914;-113300914;Да;ИСТИНА
-111077179;-111077179;Да;ИСТИНА
-109456548;-109456548;Да;ИСТИНА
-108936065;-108936065;Да;ИСТИНА
-108872123;-108872123;Да;ИСТИНА
-108564354;-108564354;Да;ИСТИНА
-106566001;-106566001;Да;ИСТИНА
-106082791;-106082791;Да;ИСТИНА
-105973503;-105973503;Да;ИСТИНА
-105364791;-105364791;Да;ИСТИНА
-104430640;-104430640;Да;ИСТИНА
-104094208;-104094208;Да;ИСТИНА
-103635063;-103635063;Да;ИСТИНА
-102134204;-102134204;Да;ИСТИНА
-99972685;-99972685;Да;ИСТИНА
-99203711;-99203711;Да;ИСТИНА
-99044555;-99044555;Да;ИСТИНА
-98970291;-98970291;Да;ИСТИНА
-97869002;-97869002;Да;ИСТИНА
-97851098;-97851098;Да;ИСТИНА
-97208987;-97208987;Да;ИСТИНА
-96491489;-96491489;Да;ИСТИНА
-96419858;-96419858;Да;ИСТИНА
-96417110;-96417110;Да;ИСТИНА
-93793702;-93793702;Да;ИСТИНА
-93241710;-93241710;Да;ИСТИНА
-93142622;-93142622;Да;ИСТИНА
-93064505;-93064505;Да;ИСТИНА
-92994738;-92994738;Да;ИСТИНА
-92779610;-92779610;Да;ИСТИНА
-92526969;-92526969;Да;ИСТИНА
-91941160;-91941160;Да;ИСТИНА
-90569696;-90569696;Да;ИСТИНА
-90550530;-90550530;Да;ИСТИНА
-89789382;-89789382;Да;ИСТИНА
-89577429;-89577429;Да;ИСТИНА
-87611649;-87611649;Да;ИСТИНА
-86070415;-86070415;Да;ИСТИНА
-85839891;-85839891;Да;ИСТИНА
-85659807;-85659807;Да;ИСТИНА
-85267807;-85267807;Да;ИСТИНА
-83474642;-83474642;Да;ИСТИНА
-82831825;-82831825;Да;ИСТИНА
-82545801;-82545801;Да;ИСТИНА
-82086685;-82086685;Да;ИСТИНА
-81729879;-81729879;Да;ИСТИНА
-80100952;-80100952;Да;ИСТИНА
-79636573;-79636573;Да;ИСТИНА
-79519618;-79519618;Да;ИСТИНА
-79357774;-79357774;Да;ИСТИНА
-78856622;-78856622;Да;ИСТИНА
-78810556;-78810556;Да;ИСТИНА
-78254195;-78254195;Да;ИСТИНА
-78034316;-78034316;Да;ИСТИНА
-77930237;-77930237;Да;ИСТИНА
-76249564;-76249564;Да;ИСТИНА
-75774855;-75774855;Да;ИСТИНА
-75351978;-75351978;Да;ИСТИНА
-72486893;-72486893;Да;ИСТИНА
-72352475;-72352475;Да;ИСТИНА
-70458255;-70458255;Да;ИСТИНА
-68801197;-68801197;Да;ИСТИНА
-68723529;-68723529;Да;ИСТИНА
-68344189;-68344189;Да;ИСТИНА
-68287212;-68287212;Да;ИСТИНА
-67517335;-67517335;Да;ИСТИНА
-66316173;-66316173;Да;ИСТИНА
-66181465;-66181465;Да;ИСТИНА
-66159711;-66159711;Да;ИСТИНА
-66061824;-66061824;Да;ИСТИНА
-65215873;-65215873;Да;ИСТИНА
-64328891;-64328891;Да;ИСТИНА
-63861698;-63861698;Да;ИСТИНА
-63468904;-63468904;Да;ИСТИНА
-63039696;-63039696;Да;ИСТИНА
-62261283;-62261283;Да;ИСТИНА
-62210954;-62210954;Да;ИСТИНА
-61635557;-61635557;Да;ИСТИНА
-61570366;-61570366;Да;ИСТИНА
-60686088;-60686088;Да;ИСТИНА
-59267471;-59267471;Да;ИСТИНА
-59096238;-59096238;Да;ИСТИНА
-58816076;-58816076;Да;ИСТИНА
-57569253;-57569253;Да;ИСТИНА
-57554965;-57554965;Да;ИСТИНА
-57106855;-57106855;Да;ИСТИНА
-55913186;-55913186;Да;ИСТИНА
-54997130;-54997130;Да;ИСТИНА
-53136833;-53136833;Да;ИСТИНА
-51180050;-51180050;Да;ИСТИНА
-51086327;-51086327;Да;ИСТИНА
-50435304;-50435304;Да;ИСТИНА
-48241699;-48241699;Да;ИСТИНА
-47654208;-47654208;Да;ИСТИНА
-46695618;-46695618;Да;ИСТИНА
-45393586;-45393586;Да;ИСТИНА
-44829911;-44829911;Да;ИСТИНА
-43748078;-43748078;Да;ИСТИНА
-43563684;-43563684;Да;ИСТИНА
-43444657;-43444657;Да;ИСТИНА
-43310397;-43310397;Да;ИСТИНА
-43288298;-43288298;Да;ИСТИНА
-41168795;-41168795;Да;ИСТИНА
-40985616;-40985616;Да;ИСТИНА
-39352179;-39352179;Да;ИСТИНА
-38052565;-38052565;Да;ИСТИНА
-36967925;-36967925;Да;ИСТИНА
-34129826;-34129826;Да;ИСТИНА
-33386149;-33386149;Да;ИСТИНА
-32695429;-32695429;Да;ИСТИНА
-31860190;-31860190;Да;ИСТИНА
-30588503;-30588503;Да;ИСТИНА
-29818641;-29818641;Да;ИСТИНА
-29341053;-29341053;Да;ИСТИНА
-28907622;-28907622;Да;ИСТИНА
-28756143;-28756143;Да;ИСТИНА
-28073830;-28073830;Да;ИСТИНА
-27956336;-27956336;Да;ИСТИНА
-26605681;-26605681;Да;ИСТИНА
-26372054;-26372054;Да;ИСТИНА
-25461394;-25461394;Да;ИСТИНА
-25312702;-25312702;Да;ИСТИНА
-24727139;-24727139;Да;ИСТИНА
-24261724;-24261724;Да;ИСТИНА
-22646660;-22646660;Да;ИСТИНА
-22608416;-22608416;Да;ИСТИНА
-21144092;-21144092;Да;ИСТИНА
-20731594;-20731594;Да;ИСТИНА
-20573863;-20573863;Да;ИСТИНА
-20328574;-20328574;Да;ИСТИНА
-19743297;-19743297;Да;ИСТИНА
-18753039;-18753039;Да;ИСТИНА
-17856660;-17856660;Да;ИСТИНА
-17707947;-17707947;Да;ИСТИНА
-17636364;-17636364;Да;ИСТИНА
-17351369;-17351369;Да;ИСТИНА
-17280055;-17280055;Да;ИСТИНА
